,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_userid,in_reply_to_tweetid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions
58,998673667126185984,912599581820637184,Expo 2025 Russia,expo2025russia,,The official page of the Russian bid for Expo 2025,https://t.co/SLKSvL0qEF,40938,9,2017-09-26,ru,en,"Expo Ticket to Replace Visa

https://t.co/UzNlmTlCLZ https://t.co/CBROWkTJbU",2018-05-21 21:15:00,Twitter for iPhone,,,,False,,,absent,absent,0,3,24,10,[],['https://exporussia2025.com/en/news/2874726'],[]
120,723443458673876992,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,"Санкт-Петербург, Россия",♠️,,41,44,2015-09-08,ru,en,Hello world https://t.co/QmtUJn2AZv,2016-04-22 09:28:00,Twitter for iPhone,,,,False,,,absent,absent,0,0,0,0,[],[],[]
515,900470534957412352,cSo6BmR48bgoe4LxMuSZNVAXqmoRxxG5rMBbtLgL3vQ=,cSo6BmR48bgoe4LxMuSZNVAXqmoRxxG5rMBbtLgL3vQ=,cSo6BmR48bgoe4LxMuSZNVAXqmoRxxG5rMBbtLgL3vQ=,,,,46,38,2017-06-29,ru,en,"Erdogan vows to 'chop off heads of traitors' at coup anniversary rally
https://t.co/bi0MNtUpZj",2017-08-23 21:31:00,TweetDeck,,,,False,,,absent,absent,0,0,0,0,[],['http://leonkuravson.livejournal.com/177060.html'],[]
607,975043109640921088,912599581820637184,Expo 2025 Russia,expo2025russia,,The official page of the Russian bid for Expo 2025,https://t.co/SLKSvL0qEF,40938,9,2017-09-26,ru,en,"Russia presents bid for EXPO 2025 to Association of Caribbean States.
Delegations from over 20 states and unions acknowledged benefits of holding the EXPO in Ekaterinburg. https://t.co/SeOJtjDqOQ",2018-03-17 16:16:00,Twitter Web Client,,,,False,,,absent,absent,0,1,8,2,[],[],[]
1409,758769586410053632,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,"Санкт-Петербург, Россия",♠️,,41,44,2015-09-08,ru,en,"Don't forget that I am human, don't forget that I am real...#i'llshowyou 🎧",2016-07-28 21:02:00,Twitter for iPhone,,,,False,,,absent,absent,0,0,0,0,['i'],[],[]
1411,758670420035903489,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,"Санкт-Петербург, Россия",♠️,,41,44,2015-09-08,ru,en,Be flawless 👑😈 https://t.co/m9BZBkhmxI,2016-07-28 14:28:00,Twitter for iPhone,,,,False,,,absent,absent,0,0,1,0,[],[],[]
1419,654672742273290240,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,"Санкт-Петербург, Россия",♠️,,41,44,2015-09-08,ru,en,#student like always 🎓🙏🏻 https://t.co/tpTle4LUW0,2015-10-15 14:58:00,Instagram,,,,False,,,absent,absent,0,0,0,0,['student'],['https://instagram.com/p/83MjilxsMO/'],[]
3115,1007207450947276805,AMPKdmVcQL6i8oRyQIUSs+pAOJvqcHymNq4fVrjndk=,AMPKdmVcQL6i8oRyQIUSs+pAOJvqcHymNq4fVrjndk=,AMPKdmVcQL6i8oRyQIUSs+pAOJvqcHymNq4fVrjndk=,,,,40,38,2017-06-29,ru,en,"What's up in Armenia? 

https://t.co/sH5Cpwj4em",2018-06-14 10:25:00,TweetDeck,,,,False,,,absent,absent,0,0,0,0,[],['https://www.quora.com/Whats-up-in-Armenia/answer/Eugen-Strijenok-1'],[]
3118,1012300365407105024,912599581820637184,Expo 2025 Russia,expo2025russia,,The official page of the Russian bid for Expo 2025,https://t.co/SLKSvL0qEF,40938,9,2017-09-26,ru,en,"Oleg Artemyev, a Russian cosmonaut from Ekaterinburg, has posted on his Instagram a photo of the Ural capital from space showing the site of the future Expo Park.

https://t.co/elOjbFb8QK https://t.co/fvk64g5CIe",2018-06-28 11:43:00,Postmypost,,,,False,,,absent,absent,1,0,15,7,[],['https://exporussia2025.com/en/news/3096962'],[]
3127,966720026958057472,912599581820637184,Expo 2025 Russia,expo2025russia,,The official page of the Russian bid for Expo 2025,https://t.co/SLKSvL0qEF,40938,9,2017-09-26,ru,en,"The presentation of the Russian bid for EXPO 2025 in Vanuatu. Head of the Russian Bid Committee Svetlana Sagaydak at a meeting with Vanuatu’s Minister for Tourism, Trade, Commerce and Business Joe Natuman https://t.co/h4pqVmfy3u",2018-02-22 17:03:00,Twitter Web Client,,,,False,,,absent,absent,1,1,18,3,[],[],[]
